Nummer;Spalte;Modell;Intervall;Wahrscheinlichkeit
3.0;Privat_Wartezeit_mean;gamma;12-16 Wochen;0.050870846348954224
3.0;Privat_Wartezeit_mean;gamma;16-45 Wochen;0.07009146379793108
3.0;Privat_Wartezeit_mean;weibull;0-4 Wochen;0.6561524876022609
3.0;Privat_Wartezeit_mean;weibull;4-8 Wochen;0.1616602829862237
3.0;Privat_Wartezeit_mean;weibull;8-12 Wochen;0.07545276822314406
3.0;Privat_Wartezeit_mean;weibull;12-16 Wochen;0.04058154773960465
3.0;Privat_Wartezeit_mean;weibull;16-45 Wochen;0.06185529802443446
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;0-4 Wochen;0.17335260925668206
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;4-8 Wochen;0.19965559640148567
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;8-12 Wochen;0.14178339076240598
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;12-16 Wochen;0.1005261862815009
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;lognorm;16-45 Wochen;0.2722764854762869
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;0-4 Wochen;0.11823400078540322
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;4-8 Wochen;0.17910436629380114
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;8-12 Wochen;0.16817792630664935
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;12-16 Wochen;0.13921549934384775
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;gamma;16-45 Wochen;0.36422420415981527
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;0-4 Wochen;0.08776880403900125
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;4-8 Wochen;0.15851276922145766
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;8-12 Wochen;0.17430701894370176
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;12-16 Wochen;0.16055153034850578
4.0;Gesetzlich_bis_Beh_Wartezeit_mean;weibull;16-45 Wochen;0.40935627791849316
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;0-4 Wochen;0.5711769223583747
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;4-8 Wochen;0.15819735667446655
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;8-12 Wochen;0.07665660825775278
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;12-16 Wochen;0.04537266605351631
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;lognorm;16-45 Wochen;0.10272567379393915
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;0-4 Wochen;0.49519902907204116
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;4-8 Wochen;0.2072886656430587
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;8-12 Wochen;0.11677592840776085
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;12-16 Wochen;0.06925314993607223
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;gamma;16-45 Wochen;0.10751906839939152
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;0-4 Wochen;0.49583409697332115
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;4-8 Wochen;0.21024068934831075
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;8-12 Wochen;0.11486904410632182
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;12-16 Wochen;0.0670425314938593
4.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;weibull;16-45 Wochen;0.10654454239939437
4.0;Vorgespräch_bis_Beh_mean;lognorm;0-4 Wochen;0.3695108289802334
4.0;Vorgespräch_bis_Beh_mean;lognorm;4-8 Wochen;0.29738005448548294
4.0;Vorgespräch_bis_Beh_mean;lognorm;8-12 Wochen;0.1432848094958099
4.0;Vorgespräch_bis_Beh_mean;lognorm;12-16 Wochen;0.0739442755987636
4.0;Vorgespräch_bis_Beh_mean;lognorm;16-45 Wochen;0.10614349899639097
4.0;Vorgespräch_bis_Beh_mean;gamma;0-4 Wochen;0.3175868713745026
4.0;Vorgespräch_bis_Beh_mean;gamma;4-8 Wochen;0.3245436462830861
4.0;Vorgespräch_bis_Beh_mean;gamma;8-12 Wochen;0.18727584687430332
4.0;Vorgespräch_bis_Beh_mean;gamma;12-16 Wochen;0.09331788312874467
4.0;Vorgespräch_bis_Beh_mean;gamma;16-45 Wochen;0.07713442108252122
4.0;Vorgespräch_bis_Beh_mean;weibull;0-4 Wochen;0.27606278642898163
4.0;Vorgespräch_bis_Beh_mean;weibull;4-8 Wochen;0.34563335816570506
4.0;Vorgespräch_bis_Beh_mean;weibull;8-12 Wochen;0.22132033912811355
4.0;Vorgespräch_bis_Beh_mean;weibull;12-16 Wochen;0.10331431442869932
4.0;Vorgespräch_bis_Beh_mean;weibull;16-45 Wochen;0.05366893332062794
4.0;Privat_Wartezeit_mean;lognorm;0-4 Wochen;0.7285065436641739
4.0;Privat_Wartezeit_mean;lognorm;4-8 Wochen;0.14096490019710728
4.0;Privat_Wartezeit_mean;lognorm;8-12 Wochen;0.0535220576983686
4.0;Privat_Wartezeit_mean;lognorm;12-16 Wochen;0.026450846103732717
4.0;Privat_Wartezeit_mean;lognorm;16-45 Wochen;0.042550482169776194
